datetime,duration,protocol,src,src_port,dst,dst_port,src_bytes,dst_bytes,count,srv_count
04/16-05:53:06.635, 0:00:00.000128, TCP, 9.246.85.82, 57450, 192.168.136.128, 135, 0, 0.,204,204
04/16-05:53:06.636, 0:00:00.000178, TCP, 9.246.85.82, 28366, 192.168.136.128, 135, 0, 0.,205,205
04/16-05:53:06.637, 0:00:00.000180, TCP, 9.246.85.82, 35899, 192.168.136.128, 135, 0, 0.,206,206
04/16-05:53:06.638, 0:00:00.000179, TCP, 9.246.85.82, 4301, 192.168.136.128, 135, 0, 0.,208,208
04/16-05:53:06.638, 0:00:00.000174, TCP, 9.246.85.82, 63647, 192.168.136.128, 135, 0, 0.,208,208
04/16-05:53:06.640, 0:00:00.000365, TCP, 9.246.85.82, 27491, 192.168.136.128, 135, 0, 0.,209,209
04/16-05:53:06.641, 0:00:00.000214, TCP, 9.246.85.82, 47864, 192.168.136.128, 135, 0, 0.,210,210
04/16-05:53:06.642, 0:00:00.000185, TCP, 9.246.85.82, 1791, 192.168.136.128, 135, 0, 0.,212,212
04/16-05:53:06.642, 0:00:00.000167, TCP, 9.246.85.82, 59060, 192.168.136.128, 135, 0, 0.,212,212
04/16-05:53:06.643, 0:00:00.000179, TCP, 9.246.85.82, 49692, 192.168.136.128, 135, 0, 0.,213,213
04/16-05:53:06.645, 0:00:00.000264, TCP, 9.246.85.82, 35828, 192.168.136.128, 135, 0, 0.,214,214
04/16-05:53:06.646, 0:00:00.000190, TCP, 9.246.85.82, 57858, 192.168.136.128, 135, 0, 0.,216,216
04/16-05:53:06.646, 0:00:00.000175, TCP, 9.246.85.82, 47153, 192.168.136.128, 135, 0, 0.,216,216
04/16-05:53:06.647, 0:00:00.000217, TCP, 9.246.85.82, 11622, 192.168.136.128, 135, 0, 0.,217,217
04/16-05:53:06.648, 0:00:00.000198, TCP, 9.246.85.82, 48269, 192.168.136.128, 135, 0, 0.,218,218
04/16-05:53:06.649, 0:00:00.000188, TCP, 9.246.85.82, 36653, 192.168.136.128, 135, 0, 0.,219,219
04/16-05:53:06.650, 0:00:00.000116, TCP, 9.246.85.82, 35771, 192.168.136.128, 135, 0, 0.,220,220
04/16-05:53:06.651, 0:00:00.000115, TCP, 9.246.85.82, 46540, 192.168.136.128, 135, 0, 0.,221,221
04/16-05:53:06.652, 0:00:00.000144, TCP, 9.246.85.82, 368, 192.168.136.128, 135, 0, 0.,223,223
